run_name,sample_trust_mode,batch_size,seed,epochs,model,hidden_dim,learning_rate,weight_decay,min_trust,max_trust,lambda_loss,lambda_entropy,use_leave_one_out,train_size,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_test_acc,epoch_best_test_acc,final_trust_mean,final_trust_std,final_trust_min,final_trust_max,notes
sample_trust_20260504_025508_cnn_combined_simple_bs32_lr0p001_seed0,combined_simple,32,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.05754737438501777,0.9906666666666667,0.08514805367513327,0.978,0.9795,7,0.10561780352805945,0.14636583688523594,0.05000000074505806,0.7232388540943886,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_none_bs64_lr0p001_seed0,none,64,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.015507878488757544,0.9952222222222222,0.07577902944223024,0.9775,0.9795,7,1.0,0.0,1.0,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_confidence_bs64_lr0p001_seed0,confidence,64,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.0065068210282932136,0.9892222222222222,0.09458390847276314,0.977,0.9795,8,0.987755280014471,0.06917313302854523,0.5123141439142802,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_entropy_bs64_lr0p001_seed0,entropy,64,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.011919980071692003,0.9938888888888889,0.06310014335950836,0.9795,0.9795,7,0.9801394981695405,0.07145840371463527,0.5649085697975564,0.9999999974636321,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_inverse_loss_bs64_lr0p001_seed0,inverse_loss,64,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.007579863070368042,0.9874444444444445,0.07642101484124941,0.98,0.981,9,0.9854329325628619,0.07900348409124013,0.45235240422453443,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_final_layer_align_bs64_lr0p001_seed0,final_layer_align,64,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.12018800987137689,0.9915555555555555,0.0776072688549757,0.974,0.981,8,0.14728768117038915,0.17344097195998998,0.05000000074505806,0.8290234360289066,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_final_layer_align_mag_bs64_lr0p001_seed0,final_layer_align_mag,64,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.14049726548459796,0.9924444444444445,0.06495978332357481,0.979,0.981,9,0.11303623258433443,0.15109476721878592,0.05000000074505806,0.8271123857785624,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_ema_final_layer_align_bs64_lr0p001_seed0,ema_final_layer_align,64,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.07128104858928257,0.9868888888888889,0.09170208900887519,0.9735,0.9785,7,0.13587884890272262,0.1322559934400075,0.05000000074505806,0.5520341998719155,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_combined_simple_bs64_lr0p001_seed0,combined_simple,64,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.057446248220072854,0.9894444444444445,0.10420994586218149,0.9715,0.98,5,0.09929169693314438,0.1173713485716928,0.05000000074505806,0.6240815919764499,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_none_bs128_lr0p001_seed0,none,128,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.02243662489288383,0.9926666666666667,0.04996269354224205,0.9815,0.9815,10,1.0,0.0,1.0,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_confidence_bs128_lr0p001_seed0,confidence,128,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.009909237722555796,0.9838888888888889,0.08443466892838478,0.9775,0.9775,10,0.9807495777036103,0.10693498905485785,0.15492545844803393,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_entropy_bs128_lr0p001_seed0,entropy,128,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.01681618213819133,0.992,0.05302171114087105,0.9805,0.9805,10,0.9680605119382831,0.09622436126982661,0.3952824668565267,0.9999999110127838,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_inverse_loss_bs128_lr0p001_seed0,inverse_loss,128,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.01006075791352325,0.9838888888888889,0.08125053749978542,0.977,0.9775,9,0.9809967875480652,0.1054105456446258,0.15968689007658354,1.0,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_final_layer_align_bs128_lr0p001_seed0,final_layer_align,128,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.13875582262542513,0.9846666666666667,0.06539689534902572,0.977,0.979,9,0.17706652678234477,0.16991928629052472,0.05000000074505806,0.7150053549820269,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_final_layer_align_mag_bs128_lr0p001_seed0,final_layer_align_mag,128,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.1748025343550576,0.9877777777777778,0.059092291057109836,0.982,0.982,10,0.11740636594698463,0.1367398055506424,0.05000000074505806,0.731251705280492,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_ema_final_layer_align_bs128_lr0p001_seed0,ema_final_layer_align,128,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.10291603855126434,0.9766666666666667,0.06846804612874985,0.974,0.9745,9,0.15211011081094472,0.13277306533615355,0.05000000074505806,0.531286744164749,ordinary_nn_samplewise_trust
sample_trust_20260504_025508_cnn_combined_simple_bs128_lr0p001_seed0,combined_simple,128,0,10,cnn,400,0.001,0.0,0.05,1.0,1.0,1.0,False,9000,0.054865224248833125,0.9851111111111112,0.07204893803596496,0.977,0.9805,8,0.09853226675743788,0.10812865585928232,0.05000000074505806,0.5963135617719569,ordinary_nn_samplewise_trust
