run_name,display_name,corruption,severity,condition,accuracy,error_rate,nll,brier,entropy_mean,entropy_correct_mean,entropy_error_mean,entropy_error_gap,entropy_error_auc,mutual_information_mean,mutual_information_error_gap,mutual_information_error_auc,examples
bayesian_trust_gradnorm,Bayes by Backprop (grad-norm),clean,0.0,clean,0.9745,0.025499999999999967,0.08868599843978882,0.04039461064338684,0.09890786014165524,0.08111409914686783,0.7789086479620606,0.6977945488151928,0.9566494632742785,0.026588178742794007,0.20321518071769715,0.954929124035453,2000
bayesian_trust_gradnorm,Bayes by Backprop (grad-norm),gaussian,0.15,gaussian_0.15,0.953,0.04700000000000004,0.16144997215270995,0.0732003116607666,0.22498066343273135,0.18946822494529447,0.9450520225503343,0.7555837976050398,0.9377386082025407,0.05397911054616997,0.17991361553397128,0.9285180058493894,2000
bayesian_trust_gradnorm,Bayes by Backprop (grad-norm),gaussian,0.3,gaussian_0.3,0.765,0.235,0.6831282730102539,0.3211792373657227,0.5416106633560455,0.3940114066537619,1.0220933500677347,0.6280819434139728,0.8689459046029759,0.13791913246189824,0.1410777323162347,0.8224530663329161,2000
bayesian_trust_gradnorm,Bayes by Backprop (grad-norm),gaussian,0.45,gaussian_0.45,0.547,0.45299999999999996,1.7522299194335937,0.6385762710571289,0.7100974491963425,0.49982912367149884,0.9639976126888138,0.46416848901731494,0.7943942677498376,0.19816139420247783,0.11441052439899241,0.748802418166923,2000
bayesian_trust_gradnorm,Bayes by Backprop (grad-norm),occlusion,8.0,occlusion_8,0.667,0.33299999999999996,1.6364789123535157,0.517236701965332,0.46099788133346997,0.3306464187897376,0.7220922522543994,0.39144583346466183,0.7667832750291521,0.1092192277708824,0.09456604840006233,0.7608279193736465,2000
bayesian_trust_gradnorm,Bayes by Backprop (grad-norm),occlusion,12.0,occlusion_12,0.352,0.648,3.086116516113281,0.8959733276367188,0.8580371331457518,0.5339698863010706,1.034073662295949,0.5001037759948784,0.7818243195847363,0.1647909257634831,0.05972560375798691,0.6699711963383839,2000
bayesian_trust_gradnorm,Bayes by Backprop (grad-norm),occlusion,16.0,occlusion_16,0.231,0.769,3.048198486328125,1.0537866897583008,1.0779840894593944,0.7667176047187209,1.1714854652397528,0.404767860521032,0.7156325469069292,0.11172783828194224,-0.006551113414625415,0.4789221398454168,2000
bayesian_trust_gradvar_beta0.95,Bayes by Backprop (grad-var beta0.95),clean,0.0,clean,0.9735,0.026499999999999968,0.09169885396957397,0.0425972375869751,0.10186530833300178,0.08396941450566532,0.7592861627070409,0.6753167482013755,0.958368462365904,0.02685766642143795,0.19487443697660853,0.9568760841546259,2000
bayesian_trust_gradvar_beta0.95,Bayes by Backprop (grad-var beta0.95),gaussian,0.15,gaussian_0.15,0.949,0.051000000000000045,0.17975322914123534,0.081289785861969,0.22446675110446268,0.18803491885823864,0.9023845707449842,0.7143496518867456,0.9300502076489183,0.05136795671472582,0.16079448531660398,0.9175396185871609,2000
bayesian_trust_gradvar_beta0.95,Bayes by Backprop (grad-var beta0.95),gaussian,0.3,gaussian_0.3,0.7565,0.24350000000000005,0.7204669952392578,0.334372932434082,0.5259060702084848,0.3735373202504281,0.9992816732609281,0.6257443530105,0.8677688642307395,0.12847471587563405,0.135374182213923,0.8254959414031169,2000
bayesian_trust_gradvar_beta0.95,Bayes by Backprop (grad-var beta0.95),gaussian,0.45,gaussian_0.45,0.533,0.46699999999999997,1.8349260864257813,0.6561759567260742,0.6947194611377554,0.4874526362620675,0.9312788137260672,0.44382617746399977,0.7897898244754149,0.19653275024119557,0.10763800701178847,0.7368688004949561,2000
bayesian_trust_gradvar_beta0.95,Bayes by Backprop (grad-var beta0.95),occlusion,8.0,occlusion_8,0.6595,0.3405,1.545587188720703,0.5052672386169433,0.49213531740408584,0.3269746699522704,0.8120279664333729,0.4850532964811025,0.8115234364128032,0.11509667361737003,0.11848572224727119,0.8112696064187817,2000
bayesian_trust_gradvar_beta0.95,Bayes by Backprop (grad-var beta0.95),occlusion,12.0,occlusion_12,0.342,0.6579999999999999,3.2538392944335937,0.9277062835693359,0.8190179172345771,0.5317157054734195,0.968345206630194,0.43662950115677446,0.7544992801151815,0.15947545451738185,0.05680007369817758,0.663838230327592,2000
bayesian_trust_gradvar_beta0.95,Bayes by Backprop (grad-var beta0.95),occlusion,16.0,occlusion_16,0.2245,0.7755,3.000244079589844,1.0460290374755858,1.100275478768075,0.7996964029215105,1.1872903111698208,0.3875939082483103,0.7143160745492168,0.11047886800405832,-0.0079418214782188,0.47734991003720567,2000
bayesian_dropout_0p1_trust_depth_lambda0.15,Bayesian + Dropout (depth lambda0.15),clean,0.0,clean,0.977,0.02300000000000002,0.08339348554611206,0.039411328315734864,0.12380475455481402,0.10713491331793382,0.8319106192692466,0.7247757059513128,0.9618953317609363,0.03756340745732875,0.2358727027766744,0.9588469583018112,2000
bayesian_dropout_0p1_trust_depth_lambda0.15,Bayesian + Dropout (depth lambda0.15),gaussian,0.15,gaussian_0.15,0.9535,0.046499999999999986,0.17230099868774415,0.07718027544021606,0.29242350668348593,0.25374348406032093,1.0855719275692457,0.8318284435089247,0.9431184487259728,0.07157171015417241,0.20498855647146955,0.9336964550524102,2000
bayesian_dropout_0p1_trust_depth_lambda0.15,Bayesian + Dropout (depth lambda0.15),gaussian,0.3,gaussian_0.3,0.762,0.238,0.6574299621582032,0.3104823570251465,0.6589611444383773,0.4874523852558159,1.2080774238380063,0.7206250385821904,0.8902683120492292,0.15421235524829535,0.14308324154359048,0.8355430754979157,2000
bayesian_dropout_0p1_trust_depth_lambda0.15,Bayesian + Dropout (depth lambda0.15),gaussian,0.45,gaussian_0.45,0.5525,0.4475,1.5237449340820313,0.5972606544494629,0.8723688401248947,0.6315910330867686,1.169641998535095,0.5380509654483264,0.8230410273262722,0.2271250295609643,0.10893741904264037,0.7395515559038398,2000
bayesian_dropout_0p1_trust_depth_lambda0.15,Bayesian + Dropout (depth lambda0.15),occlusion,8.0,occlusion_8,0.633,0.367,1.6161112670898437,0.5601179809570312,0.5182860530421506,0.38494765286892885,0.7482675443490973,0.3633198914801684,0.7416093082118367,0.14766837998189555,0.10392766372206341,0.7370496877031221,2000
bayesian_dropout_0p1_trust_depth_lambda0.15,Bayesian + Dropout (depth lambda0.15),occlusion,12.0,occlusion_12,0.345,0.655,3.0797874450683596,0.8907806854248047,0.9051825710558976,0.5403436736431679,1.0973496238916103,0.5570059502484423,0.8158402478150237,0.2355805586072494,0.09380705153726024,0.6986834826861379,2000
bayesian_dropout_0p1_trust_depth_lambda0.15,Bayesian + Dropout (depth lambda0.15),occlusion,16.0,occlusion_16,0.268,0.732,2.738614685058594,0.9668564529418945,1.173065030278376,0.831031507583845,1.2982904183687236,0.4672589107848786,0.7742040310741375,0.16541591217766108,-0.006779962500629871,0.4678847055705081,2000
bayesian_dropout_0p1_trust_gradnorm,Bayesian + Dropout (grad-norm),clean,0.0,clean,0.9755,0.024499999999999966,0.08859187173843384,0.039811557292938234,0.12319347912941508,0.10587043621188666,0.8129334124375363,0.7070629762256496,0.9583991464345861,0.039193336767456004,0.22868567925967098,0.9483885814705175,2000
bayesian_dropout_0p1_trust_gradnorm,Bayesian + Dropout (grad-norm),gaussian,0.15,gaussian_0.15,0.952,0.04800000000000004,0.18854109382629394,0.08448142814636231,0.31310489949476183,0.27683905424327343,1.0323774969826143,0.7555384427393408,0.9228324142156863,0.07978556509386212,0.1838018332225006,0.9090948879551821,2000
bayesian_dropout_0p1_trust_gradnorm,Bayesian + Dropout (grad-norm),gaussian,0.3,gaussian_0.3,0.7535,0.24650000000000005,0.6963993911743164,0.3307327194213867,0.6653415127266471,0.49586544021493073,1.1833951461448147,0.6875297059298839,0.8798796959691824,0.16136621589797506,0.13282290181941372,0.8094221557007124,2000
bayesian_dropout_0p1_trust_gradnorm,Bayesian + Dropout (grad-norm),gaussian,0.45,gaussian_0.45,0.539,0.46099999999999997,1.5755973510742187,0.6210525817871094,0.866051132785593,0.6367972094283447,1.134094223218471,0.49729701379012625,0.7974074267845572,0.22988666655996348,0.10500385215301558,0.7228719529618197,2000
bayesian_dropout_0p1_trust_gradnorm,Bayesian + Dropout (grad-norm),occlusion,8.0,occlusion_8,0.626,0.374,1.506734649658203,0.5509027328491211,0.5361654581848873,0.38623213121749556,0.7871233797934091,0.4008912485759135,0.7604805573115101,0.16242884104381464,0.11450953448223473,0.7442968256137773,2000
bayesian_dropout_0p1_trust_gradnorm,Bayesian + Dropout (grad-norm),occlusion,12.0,occlusion_12,0.342,0.6579999999999999,3.091005828857422,0.8909328536987304,0.9386501081861626,0.5729696368883236,1.1287150339975014,0.5557453971091778,0.8122700367941129,0.2573357612604358,0.09681789202330177,0.6865612613093016,2000
bayesian_dropout_0p1_trust_gradnorm,Bayesian + Dropout (grad-norm),occlusion,16.0,occlusion_16,0.2525,0.7475,2.9057303466796873,1.0046518936157227,1.1254990275672754,0.7878617369701237,1.2395504200432363,0.4516886830731126,0.7614570018874797,0.17073841299448395,-0.00010290272806004475,0.5018735719725819,2000
bayesian_dropout_0p1_trust_gradvar_beta0.95,Bayesian + Dropout (grad-var beta0.95),clean,0.0,clean,0.977,0.02300000000000002,0.08884376239776612,0.0401348659992218,0.12778736134144567,0.11195371889366364,0.8003729557537514,0.6884192368600878,0.9527502113835611,0.037834906288140305,0.2111939953975055,0.9459748119798852,2000
bayesian_dropout_0p1_trust_gradvar_beta0.95,Bayesian + Dropout (grad-var beta0.95),gaussian,0.15,gaussian_0.15,0.956,0.04400000000000004,0.17563945198059083,0.07865115070343018,0.30179463726810535,0.26844824324271754,1.0263208347288044,0.7578725914860869,0.9269030524914416,0.07363122474537522,0.1886938607214637,0.9207933149486497,2000
bayesian_dropout_0p1_trust_gradvar_beta0.95,Bayesian + Dropout (grad-var beta0.95),gaussian,0.3,gaussian_0.3,0.77,0.22999999999999998,0.6194419326782227,0.3013154125213623,0.6745104200740425,0.5121396208028474,1.2180996176341305,0.7059599968312832,0.8780265386787126,0.16087641942627487,0.14331013103251727,0.8242214850367025,2000
bayesian_dropout_0p1_trust_gradvar_beta0.95,Bayesian + Dropout (grad-var beta0.95),gaussian,0.45,gaussian_0.45,0.556,0.44399999999999995,1.447607208251953,0.5855267715454101,0.8870000447600614,0.6404739908765995,1.1957128509744868,0.5552388600978873,0.8285088145699656,0.2340785767590278,0.11635787563781241,0.7540194195994556,2000
bayesian_dropout_0p1_trust_gradvar_beta0.95,Bayesian + Dropout (grad-var beta0.95),occlusion,8.0,occlusion_8,0.644,0.356,1.5513756256103515,0.5427863388061523,0.5399846730634622,0.41096353016846776,0.7733824708847443,0.36241894071627656,0.7355395962732919,0.15624540825171906,0.10752663682329787,0.7334252215786168,2000
bayesian_dropout_0p1_trust_gradvar_beta0.95,Bayesian + Dropout (grad-var beta0.95),occlusion,12.0,occlusion_12,0.329,0.671,3.089822174072266,0.910728759765625,0.9102656521472559,0.5470069508245019,1.0883761033174288,0.5413691524929269,0.8109522148587374,0.23509533908941058,0.08366942107057465,0.675434523620781,2000
bayesian_dropout_0p1_trust_gradvar_beta0.95,Bayesian + Dropout (grad-var beta0.95),occlusion,16.0,occlusion_16,0.2385,0.7615000000000001,2.84215283203125,1.0064347915649414,1.1395936226117773,0.7695939557417443,1.2554766436866336,0.4858826879448893,0.7799079385137191,0.16548998621379724,-0.0011693641187207893,0.49901234873794,2000
bayesian_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayes by Backprop (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),clean,0.0,clean,0.9735,0.026499999999999968,0.0866025938987732,0.04073947644233704,0.09708349405398357,0.07877469407573184,0.7696728064625893,0.6908981123868574,0.9657625180490547,0.02732263774773828,0.20736824859287528,0.9617408494926883,2000
bayesian_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayes by Backprop (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),gaussian,0.15,gaussian_0.15,0.9495,0.05049999999999999,0.17726780891418456,0.08041384410858154,0.22831700026510401,0.19114592541417347,0.9272068135514118,0.7360608881372384,0.9342645164990433,0.05576197495230222,0.1731010539889637,0.9233155543042456,2000
bayesian_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayes by Backprop (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),gaussian,0.3,gaussian_0.3,0.7525,0.24750000000000005,0.7182523651123047,0.33022394180297854,0.5481417377144873,0.38853801309986064,1.0334015468963318,0.6448635337964712,0.8768495587100238,0.1412262118598205,0.1437879427997644,0.8262961844357193,2000
bayesian_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayes by Backprop (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),gaussian,0.45,gaussian_0.45,0.5295,0.47050000000000003,1.8549545135498047,0.6595575408935547,0.7106080940573438,0.4911780747184783,0.9575543113579373,0.46637623663945904,0.7999586560818208,0.20687048354065973,0.11758682299383061,0.7482877897962809,2000
bayesian_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayes by Backprop (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),occlusion,8.0,occlusion_8,0.6645,0.3355,1.638119644165039,0.5132471084594726,0.46288328697999553,0.32116993906663993,0.7435644186891605,0.4223944796225205,0.787921400288643,0.11866387514393834,0.111245220816247,0.7873349189635316,2000
bayesian_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayes by Backprop (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),occlusion,12.0,occlusion_12,0.331,0.669,3.5740653076171873,0.9826169204711914,0.7446607248847927,0.48423989223648894,0.8735087003804408,0.38926880814395187,0.7449376577748273,0.16231330877723274,0.04802635848427217,0.6354470079796242,2000
bayesian_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayes by Backprop (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),occlusion,16.0,occlusion_16,0.2425,0.7575000000000001,3.0802752685546877,1.0676553955078125,1.0019963666137774,0.7018328006724952,1.0980883332682472,0.39625553259575197,0.7231274880065326,0.11231055355886929,-0.0010069123426325044,0.5120642373515703,2000
bayesian_dropout_0p1_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayesian + Dropout (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),clean,0.0,clean,0.9765,0.023499999999999965,0.0870603985786438,0.039044712781906125,0.11815515216298361,0.10201752594256751,0.7887250246836784,0.6867074987411109,0.9495048534170016,0.03747537458674285,0.22547892657393587,0.9448747698576113,2000
bayesian_dropout_0p1_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayesian + Dropout (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),gaussian,0.15,gaussian_0.15,0.952,0.04800000000000004,0.16736431121826173,0.07428930187225342,0.28534867898756694,0.2469419428743154,1.047082278567056,0.8001403356927406,0.9353772759103641,0.0735620373494819,0.2054743974589714,0.9205729166666666,2000
bayesian_dropout_0p1_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayesian + Dropout (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),gaussian,0.3,gaussian_0.3,0.779,0.22099999999999997,0.6232173652648926,0.29946080017089843,0.6516168086743346,0.49364785904449626,1.2084394863288328,0.7147916272843365,0.8820320169145964,0.1573623357039405,0.13527777287858098,0.8081424729465204,2000
bayesian_dropout_0p1_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayesian + Dropout (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),gaussian,0.45,gaussian_0.45,0.5685,0.4315,1.4441333618164063,0.574626220703125,0.8811851202108082,0.6468763850518137,1.189886200020515,0.5430098149687014,0.8167200180181833,0.23177717491379007,0.10802844943066442,0.7362343831371002,2000
bayesian_dropout_0p1_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayesian + Dropout (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),occlusion,8.0,occlusion_8,0.6445,0.35550000000000004,1.546955078125,0.5290238647460938,0.5405954375042149,0.3901595180332599,0.8133266614114737,0.4231671433782138,0.7724268641179994,0.17515870364463612,0.13281290450165803,0.7587517008027461,2000
bayesian_dropout_0p1_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayesian + Dropout (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),occlusion,12.0,occlusion_12,0.316,0.6839999999999999,3.415195281982422,0.9454064407348632,0.8636211918672552,0.5030766956130541,1.030188532242003,0.5271118366289489,0.8037789621733659,0.2471968852747486,0.1081852439789513,0.7081008494337109,2000
bayesian_dropout_0p1_trust_kalmanLayer_beta0.95_Q0.0001_P1.0_R1.0,Bayesian + Dropout (kalman-layer beta0.95 Q0.0001 P1.0 R1.0),occlusion,16.0,occlusion_16,0.229,0.771,3.0264576110839845,1.019526657104492,1.1037199410613394,0.6883593853924008,1.2270890295803885,0.5387296441879876,0.7838442107170974,0.16852932449441868,0.02760717969007087,0.5897646112630905,2000
